,rank,title,lifetime_gross,year
0,1,star wars: the force awakens,936662225,2015
1,2,avatar,760507625,2009
2,3,black panther,700059566,2018
3,4,avengers: infinity war,678681680,2018
4,5,titanic,659363944,1997
5,6,jurassic world,652270625,2015
6,7,marvel's the avengers,623357910,2012
7,8,star wars: the last jedi,620181382,2017
8,9,incredibles 2,597066966,2018
9,10,the dark knight,534858444,2008
10,11,rogue one: a star wars story,532177324,2016
11,12,beauty and the beast (2017),504014165,2017
12,13,finding dory,486295561,2016
13,14,star wars: episode i - the phantom menace,474544677,1999
14,15,star wars,460998007,1977
15,16,avengers: age of ultron,459005868,2015
16,17,the dark knight rises,448139099,2012
17,18,shrek 2,441226247,2004
18,19,e.t.: the extra-terrestrial,435110554,1982
19,20,the hunger games: catching fire,424668047,2013
20,21,pirates of the caribbean: dead man's chest,423315812,2006
21,22,the lion king,422783777,1994
22,23,toy story 3,415004880,2010
23,24,jurassic world: fallen kingdom,413025695,2018
24,25,wonder woman,412563408,2017
25,26,iron man 3,409013994,2013
26,27,captain america: civil war,408084349,2016
27,28,the hunger games,408010692,2012
28,29,jumanji: welcome to the jungle,404515480,2017
29,30,spider-man,403706375,2002
30,31,jurassic park,402453882,1993
31,32,transformers: revenge of the fallen,402111870,2009
32,33,frozen,400738009,2013
33,34,guardians of the galaxy vol. 2,389813101,2017
34,35,harry potter and the deathly hallows part 2,381011219,2011
35,36,finding nemo,380843261,2003
36,37,star wars: episode iii - revenge of the sith,380270577,2005
37,38,the lord of the rings: the return of the king,377845905,2003
38,39,spider-man 2,373585825,2004
39,40,the passion of the christ,370782930,2004
40,41,the secret life of pets,368384330,2016
41,42,despicable me 2,368061265,2013
42,43,the jungle book (2016),364001123,2016
43,44,deadpool,363070709,2016
44,45,inside out,356461711,2015
45,46,furious 7,353007020,2015
46,47,transformers: dark of the moon,352390543,2011
47,48,american sniper,350126372,2014
48,49,the lord of the rings: the two towers,342551365,2002
49,50,zootopia,341268248,2016
50,51,the hunger games: mockingjay - part 1,337135885,2014
51,52,spider-man 3,336530303,2007
52,53,minions,336045770,2015
53,54,spider-man: homecoming,334201140,2017
54,55,alice in wonderland (2010),334191110,2010
55,56,guardians of the galaxy,333176600,2014
56,57,batman v superman: dawn of justice,330360194,2016
57,58,forrest gump,330252182,1994
58,59,it,327481748,2017
59,60,suicide squad,325100054,2016
60,61,shrek the third,322719944,2007
61,62,transformers,319246193,2007
62,63,iron man,318412101,2008
63,64,deadpool 2,318365417,2018
64,65,harry potter and the sorcerer's stone,317575550,2001
65,66,indiana jones and the kingdom of the crystal skull,317101119,2008
66,67,the lord of the rings: the fellowship of the ring,315544750,2001
67,68,thor: ragnarok,315058289,2017
68,69,iron man 2,312433331,2010
69,70,star wars: episode ii - attack of the clones,310676740,2002
70,71,pirates of the caribbean: at world's end,309420425,2007
71,72,return of the jedi,309306177,1983
72,73,independence day,306169268,1996
73,74,pirates of the caribbean: the curse of the black pearl,305413918,2003
74,75,skyfall,304360277,2012
75,76,the hobbit: an unexpected journey,303003568,2012
76,77,harry potter and the half-blood prince,301959197,2009
77,78,the twilight saga: eclipse,300531751,2010
78,79,the twilight saga: new moon,296623634,2009
79,80,harry potter and the deathly hallows part 1,295983305,2010
80,81,the sixth sense,293506292,1999
81,82,up,293004164,2009
82,83,inception,292576195,2010
83,84,the twilight saga: breaking dawn part 2,292324737,2012
84,85,harry potter and the order of the phoenix,292004738,2007
85,86,"the chronicles of narnia: the lion, the witch and the wardrobe",291710957,2005
86,87,man of steel,291045518,2013
87,88,the empire strikes back,290475067,1980
88,89,harry potter and the goblet of fire,290013036,2005
89,90,"monsters, inc.",289916256,2001
90,91,home alone,285761243,1990
91,92,the hunger games: mockingjay - part 2,281723902,2015
92,93,the matrix reloaded,281576461,2003
93,94,the twilight saga: breaking dawn part 1,281287133,2011
94,95,meet the fockers,279261160,2004
95,96,the hangover,277322503,2009
96,97,gravity,274092705,2013
97,98,sing,270395425,2016
98,99,monsters university,268492764,2013
99,100,shrek,267665011,2001
100,101,despicable me 3,264624300,2017
101,102,the amazing spider-man,262030663,2012
102,103,harry potter and the chamber of secrets,261988482,2002
103,104,the incredibles,261441092,2004
104,105,how the grinch stole christmas,260044825,2000
105,106,jaws,260000000,1975
106,107,captain america: the winter soldier,259766572,2014
107,108,the hobbit: the desolation of smaug,258366855,2013
108,109,the lego movie,257760692,2014
109,110,star trek,257730019,2009
110,111,i am legend,256393010,2007
111,112,the blind side,255959475,2009
112,113,the hobbit: the battle of the five armies,255119788,2014
113,114,the hangover part ii,254464305,2011
114,115,despicable me,251513985,2010
115,116,batman,251188924,1989
116,117,night at the museum,250863268,2006
117,118,men in black,250690539,1997
118,119,harry potter and the prisoner of azkaban,249541069,2004
119,120,moana,248757044,2016
120,121,raiders of the lost ark,248159971,1981
121,122,toy story 2,245852179,1999
122,123,transformers: age of extinction,245439076,2014
123,124,cars,244082982,2006
124,125,bruce almighty,242829261,2003
125,126,ghostbusters,242212467,1984
126,127,twister,241721524,1996
127,128,my big fat greek wedding,241438208,2002
128,129,maleficent,241410378,2014
129,130,pirates of the caribbean: on stranger tides,241071802,2011
130,131,shrek forever after,238736787,2010
131,132,fast & furious 6,238679850,2013
132,133,brave,237283207,2012
133,134,oz the great and powerful,234911825,2013
134,135,beverly hills cop,234760478,1984
135,136,x-men: the last stand,234362462,2006
136,137,war of the worlds,234280354,2005
137,138,fantastic beasts and where to find them,234037575,2016
138,139,x-men: days of future past,233921534,2014
139,140,cast away,233632142,2000
140,141,the exorcist,232906145,1973
141,142,doctor strange,232641920,2016
142,143,the lost world: jurassic park,229086679,1997
143,144,justice league,229024295,2017
144,145,star trek into darkness,228778661,2013
145,146,the martian,228433663,2015
146,147,signs,227966634,2002
147,148,hancock,227946274,2008
148,149,the bourne ultimatum,227471070,2007
149,150,logan,226277068,2017
150,151,rush hour 2,226164286,2001
151,152,the fate of the furious,226008385,2017
152,153,wall-e,223808164,2008
153,154,big hero 6,222527828,2014
154,155,national treasure: book of secrets,219964115,2007
155,156,alvin and the chipmunks: the squeakquel,219614612,2009
156,157,mrs. doubtfire,219195243,1993
157,158,beauty and the beast,218967620,1991
158,159,ted,218815487,2012
159,160,king kong,218080025,2005
160,161,ghost,217631306,1990
161,162,how to train your dragon,217581231,2010
162,163,the da vinci code,217536138,2006
163,164,aladdin,217350219,1992
164,165,alvin and the chipmunks,217326974,2007
165,166,saving private ryan,216540909,1998
166,167,madagascar 3: europe's most wanted,216391482,2012
167,168,kung fu panda,215434591,2008
168,169,mission: impossible ii,215409889,2000
169,170,x2: x-men united,214949694,2003
170,171,dr. seuss' the lorax,214030500,2012
171,172,solo: a star wars story,213588649,2018
172,173,austin powers in goldmember,213307889,2002
173,174,ant-man and the wasp,211470699,2018
174,175,300,210614939,2007
175,176,back to the future,210609762,1985
176,177,fast five,209837675,2011
177,178,coco,209726015,2017
178,179,mission: impossible - ghost protocol,209397903,2011
179,180,wedding crashers,209255921,2005
180,181,sherlock holmes,209028679,2009
181,182,dawn of the planet of the apes,208545589,2014
182,183,batman begins,206852432,2005
183,184,charlie and the chocolate factory,206459076,2005
184,185,ratatouille,206445654,2007
185,186,thor: the dark world,206362140,2013
186,187,austin powers: the spy who shagged me,206040086,1999
187,188,terminator 2: judgment day,205881154,1991
188,189,the amazing spider-man 2,202853933,2014
189,190,world war z,202359711,2013
190,191,the mummy returns,202019785,2001
191,192,armageddon,201578182,1998
192,193,cinderella (2015),201151353,2015
193,194,tangled,200821936,2010
194,195,godzilla (2014),200676069,2014
195,196,superman returns,200081192,2006
196,197,spectre,200074609,2015
197,198,gone with the wind,198676459,1939
198,199,pearl harbor,198542554,2001
199,200,monsters vs. aliens,198351526,2009
200,201,happy feet,198000317,2006
201,202,indiana jones and the last crusade,197171806,1989
202,203,ice age: dawn of the dinosaurs,196573705,2009
203,204,ice age: the meltdown,195330621,2006
204,205,mission: impossible - rogue nation,195042377,2015
205,206,mission: impossible - fallout,193900660,2018
206,207,madagascar,193595521,2005
207,208,twilight,192769854,2008
208,209,toy story,191796233,1995
209,210,22 jump street,191719337,2014
210,211,cars 2,191452396,2011
211,212,teenage mutant ninja turtles (2014),191204754,2014
212,213,men in black ii,190418803,2002
213,214,dunkirk,190068280,2017
214,215,wreck-it ralph,189422889,2012
215,216,grease,188755690,1978
216,217,a quiet place,188024361,2018
217,218,interstellar,188020017,2014
218,219,gladiator,187705427,2000
219,220,the croods,187168425,2013
220,221,sherlock holmes: a game of shadows,186848418,2011
221,222,the day after tomorrow,186740799,2004
222,223,the polar express,186493472,2004
223,224,mr. & mrs. smith,186336279,2005
224,225,snow white and the seven dwarfs,184925486,1937
225,226,pitch perfect 2,184296230,2015
226,227,dances with wolves,184208848,1990
227,228,batman forever,184031112,1995
228,229,the fugitive,183875760,1993
229,230,the revenant,183637894,2015
230,231,ocean's eleven,183417150,2001
231,232,the simpsons movie,183135014,2007
232,233,what women want,182811707,2000
233,234,the perfect storm,182618434,2000
234,235,lincoln,182207973,2012
235,236,liar liar,181410615,1997
236,237,jurassic park iii,181171875,2001
237,238,thor,181030624,2011
238,239,mission: impossible,180981856,1996
239,240,ant-man,180202163,2015
240,241,planet of the apes (2001),180011740,2001
241,242,madagascar: escape 2 africa,180010950,2008
242,243,x-men origins: wolverine,179883157,2009
243,244,indiana jones and the temple of doom,179870271,1984
244,245,top gun,179800601,1986
245,246,hitch,179495555,2005
246,247,mib 3,179020854,2012
247,248,pretty woman,178406268,1990
248,249,home (2015),177397510,2015
249,250,night at the museum: battle of the smithsonian,177243721,2009
250,251,tootsie,177200000,1982
251,252,how to train your dragon 2,177002924,2014
252,253,rise of the planet of the apes,176760185,2011
253,254,captain america: the first avenger,176654505,2011
254,255,the karate kid,176591618,2010
255,256,there's something about mary,176484651,1998
256,257,ice age,176387405,2002
257,258,the bourne supremacy,176241941,2004
258,259,get out,176040665,2017
259,260,the lego batman movie,175750384,2017
260,261,the boss baby,175003033,2017
261,262,crocodile dundee,174803506,1986
262,263,the greatest showman,174340174,2017
263,264,apollo 13,173837933,1995
264,265,home alone 2: lost in new york,173585516,1992
265,266,elf,173398518,2003
266,267,national treasure,173008894,2004
267,268,air force one,172956409,1997
268,269,rain man,172825435,1988
269,270,pirates of the caribbean: dead men tell no tales,172558876,2017
270,271,tron legacy,172062763,2010
271,272,the matrix,171479930,1999
272,273,true grit,171243005,2010
273,274,tarzan,171091819,1999
274,275,a beautiful mind,170742341,2001
275,276,chicago,170687518,2002
276,277,the help,169708112,2011
277,278,hotel transylvania 2,169700110,2015
278,279,hidden figures,169607287,2016
279,280,bridesmaids,169106725,2011
280,281,quantum of solace,168368427,2008
281,282,wild hogs,168273550,2007
282,283,kong: skull island,168052812,2017
283,284,three men and a baby,167780960,1987
284,285,gone girl,167767189,2014
285,286,casino royale,167445960,2006
286,287,meet the parents,166244045,2000
287,288,fifty shades of grey,166167230,2015
288,289,2012,166112167,2009
289,290,robin hood: prince of thieves,165493908,1991
290,291,kung fu panda 2,165249063,2011
291,292,hannibal,165092268,2001
292,293,catch me if you can,164615351,2002
293,294,the proposal,163958031,2009
294,295,the pursuit of happyness,163566459,2006
295,296,big daddy,163479795,1999
296,297,clash of the titans (2010),163214888,2010
297,298,the spongebob movie: sponge out of water,162994032,2015
298,299,batman returns,162831698,1992
299,300,django unchained,162805434,2012
300,301,a bug's life,162798565,1998
301,302,jason bourne,162434410,2016
302,303,grown ups,162001186,2010
303,304,the waterboy,161491646,1998
304,305,ice age: continental drift,161321843,2012
305,306,straight outta compton,161197785,2015
306,307,die another day,160942139,2002
307,308,shark tale,160861908,2004
308,309,the heat,159582188,2013
309,310,star trek beyond,158848340,2016
310,311,the sound of music,158671368,1965
311,312,hotel transylvania 3: summer vacation,158617389,2018
312,313,the firm,158348367,1993
313,314,the longest yard,158119460,2005
314,315,x-men,157299717,2000
315,316,scary movie,157019771,2000
316,317,fatal attraction,156645693,1987
317,318,who framed roger rabbit,156452370,1988
318,319,the sting,156000000,1973
319,320,what lies beneath,155464351,2000
320,321,x-men: apocalypse,155442489,2016
321,322,the mummy,155385488,1999
322,323,snow white and the huntsman,155332381,2012
323,324,san andreas,155190832,2015
