,rank,title,lifetime_gross,year
0,1,Star Wars: The Force Awakens,936662225,2015
1,2,Avatar,760507625,2009
2,3,Black Panther,700059566,2018
3,4,Avengers: Infinity War,678681680,2018
4,5,Titanic,659363944,1997
5,6,Jurassic World,652270625,2015
6,7,Marvel's The Avengers,623357910,2012
7,8,Star Wars: The Last Jedi,620181382,2017
8,9,Incredibles 2,597066966,2018
9,10,The Dark Knight,534858444,2008
10,11,Rogue One: A Star Wars Story,532177324,2016
11,12,Beauty and the Beast (2017),504014165,2017
12,13,Finding Dory,486295561,2016
13,14,Star Wars: Episode I - The Phantom Menace,474544677,1999
14,15,Star Wars,460998007,1977
15,16,Avengers: Age of Ultron,459005868,2015
16,17,The Dark Knight Rises,448139099,2012
17,18,Shrek 2,441226247,2004
18,19,E.T.: The Extra-Terrestrial,435110554,1982
19,20,The Hunger Games: Catching Fire,424668047,2013
20,21,Pirates of the Caribbean: Dead Man's Chest,423315812,2006
21,22,The Lion King,422783777,1994
22,23,Toy Story 3,415004880,2010
23,24,Jurassic World: Fallen Kingdom,413025695,2018
24,25,Wonder Woman,412563408,2017
25,26,Iron Man 3,409013994,2013
26,27,Captain America: Civil War,408084349,2016
27,28,The Hunger Games,408010692,2012
28,29,Jumanji: Welcome to the Jungle,404515480,2017
29,30,Spider-Man,403706375,2002
30,31,Jurassic Park,402453882,1993
31,32,Transformers: Revenge of the Fallen,402111870,2009
32,33,Frozen,400738009,2013
33,34,Guardians of the Galaxy Vol. 2,389813101,2017
34,35,Harry Potter and the Deathly Hallows Part 2,381011219,2011
35,36,Finding Nemo,380843261,2003
36,37,Star Wars: Episode III - Revenge of the Sith,380270577,2005
37,38,The Lord of the Rings: The Return of the King,377845905,2003
38,39,Spider-Man 2,373585825,2004
39,40,The Passion of the Christ,370782930,2004
40,41,The Secret Life of Pets,368384330,2016
41,42,Despicable Me 2,368061265,2013
42,43,The Jungle Book (2016),364001123,2016
43,44,Deadpool,363070709,2016
44,45,Inside Out,356461711,2015
45,46,Furious 7,353007020,2015
46,47,Transformers: Dark of the Moon,352390543,2011
47,48,American Sniper,350126372,2014
48,49,The Lord of the Rings: The Two Towers,342551365,2002
49,50,Zootopia,341268248,2016
50,51,The Hunger Games: Mockingjay - Part 1,337135885,2014
51,52,Spider-Man 3,336530303,2007
52,53,Minions,336045770,2015
53,54,Spider-Man: Homecoming,334201140,2017
54,55,Alice in Wonderland (2010),334191110,2010
55,56,Guardians of the Galaxy,333176600,2014
56,57,Batman v Superman: Dawn of Justice,330360194,2016
57,58,Forrest Gump,330252182,1994
58,59,It,327481748,2017
59,60,Suicide Squad,325100054,2016
60,61,Shrek the Third,322719944,2007
61,62,Transformers,319246193,2007
62,63,Iron Man,318412101,2008
63,64,Deadpool 2,318365417,2018
64,65,Harry Potter and the Sorcerer's Stone,317575550,2001
65,66,Indiana Jones and the Kingdom of the Crystal Skull,317101119,2008
66,67,The Lord of the Rings: The Fellowship of the Ring,315544750,2001
67,68,Thor: Ragnarok,315058289,2017
68,69,Iron Man 2,312433331,2010
69,70,Star Wars: Episode II - Attack of the Clones,310676740,2002
70,71,Pirates of the Caribbean: At World's End,309420425,2007
71,72,Return of the Jedi,309306177,1983
72,73,Independence Day,306169268,1996
73,74,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003
74,75,Skyfall,304360277,2012
75,76,The Hobbit: An Unexpected Journey,303003568,2012
76,77,Harry Potter and the Half-Blood Prince,301959197,2009
77,78,The Twilight Saga: Eclipse,300531751,2010
78,79,The Twilight Saga: New Moon,296623634,2009
79,80,Harry Potter and the Deathly Hallows Part 1,295983305,2010
80,81,The Sixth Sense,293506292,1999
81,82,Up,293004164,2009
82,83,Inception,292576195,2010
83,84,The Twilight Saga: Breaking Dawn Part 2,292324737,2012
84,85,Harry Potter and the Order of the Phoenix,292004738,2007
85,86,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,2005
86,87,Man of Steel,291045518,2013
87,88,The Empire Strikes Back,290475067,1980
88,89,Harry Potter and the Goblet of Fire,290013036,2005
89,90,"Monsters, Inc.",289916256,2001
90,91,Home Alone,285761243,1990
91,92,The Hunger Games: Mockingjay - Part 2,281723902,2015
92,93,The Matrix Reloaded,281576461,2003
93,94,The Twilight Saga: Breaking Dawn Part 1,281287133,2011
94,95,Meet the Fockers,279261160,2004
95,96,The Hangover,277322503,2009
96,97,Gravity,274092705,2013
97,98,Sing,270395425,2016
98,99,Monsters University,268492764,2013
99,100,Shrek,267665011,2001
100,101,Despicable Me 3,264624300,2017
101,102,The Amazing Spider-Man,262030663,2012
102,103,Harry Potter and the Chamber of Secrets,261988482,2002
103,104,The Incredibles,261441092,2004
104,105,How the Grinch Stole Christmas,260044825,2000
105,106,Jaws,260000000,1975
106,107,Captain America: The Winter Soldier,259766572,2014
107,108,The Hobbit: The Desolation of Smaug,258366855,2013
108,109,The LEGO Movie,257760692,2014
109,110,Star Trek,257730019,2009
110,111,I Am Legend,256393010,2007
111,112,The Blind Side,255959475,2009
112,113,The Hobbit: The Battle of the Five Armies,255119788,2014
113,114,The Hangover Part II,254464305,2011
114,115,Despicable Me,251513985,2010
115,116,Batman,251188924,1989
116,117,Night at the Museum,250863268,2006
117,118,Men in Black,250690539,1997
118,119,Harry Potter and the Prisoner of Azkaban,249541069,2004
119,120,Moana,248757044,2016
120,121,Raiders of the Lost Ark,248159971,1981
121,122,Toy Story 2,245852179,1999
122,123,Transformers: Age of Extinction,245439076,2014
123,124,Cars,244082982,2006
124,125,Bruce Almighty,242829261,2003
125,126,Ghostbusters,242212467,1984
126,127,Twister,241721524,1996
127,128,My Big Fat Greek Wedding,241438208,2002
128,129,Maleficent,241410378,2014
129,130,Pirates of the Caribbean: On Stranger Tides,241071802,2011
130,131,Shrek Forever After,238736787,2010
131,132,Fast & Furious 6,238679850,2013
132,133,Brave,237283207,2012
133,134,Oz The Great and Powerful,234911825,2013
134,135,Beverly Hills Cop,234760478,1984
135,136,X-Men: The Last Stand,234362462,2006
136,137,War of the Worlds,234280354,2005
137,138,Fantastic Beasts and Where To Find Them,234037575,2016
138,139,X-Men: Days of Future Past,233921534,2014
139,140,Cast Away,233632142,2000
140,141,The Exorcist,232906145,1973
141,142,Doctor Strange,232641920,2016
142,143,The Lost World: Jurassic Park,229086679,1997
143,144,Justice League,229024295,2017
144,145,Star Trek Into Darkness,228778661,2013
145,146,The Martian,228433663,2015
146,147,Signs,227966634,2002
147,148,Hancock,227946274,2008
148,149,The Bourne Ultimatum,227471070,2007
149,150,Logan,226277068,2017
150,151,Rush Hour 2,226164286,2001
151,152,The Fate of the Furious,226008385,2017
152,153,WALL-E,223808164,2008
153,154,Big Hero 6,222527828,2014
154,155,National Treasure: Book of Secrets,219964115,2007
155,156,Alvin and the Chipmunks: The Squeakquel,219614612,2009
156,157,Mrs. Doubtfire,219195243,1993
157,158,Beauty and the Beast,218967620,1991
158,159,Ted,218815487,2012
159,160,King Kong,218080025,2005
160,161,Ghost,217631306,1990
161,162,How to Train Your Dragon,217581231,2010
162,163,The Da Vinci Code,217536138,2006
163,164,Aladdin,217350219,1992
164,165,Alvin and the Chipmunks,217326974,2007
165,166,Saving Private Ryan,216540909,1998
166,167,Madagascar 3: Europe's Most Wanted,216391482,2012
167,168,Kung Fu Panda,215434591,2008
168,169,Mission: Impossible II,215409889,2000
169,170,X2: X-Men United,214949694,2003
170,171,Dr. Seuss' The Lorax,214030500,2012
171,172,Solo: A Star Wars Story,213588649,2018
172,173,Austin Powers in Goldmember,213307889,2002
173,174,Ant-Man and the Wasp,211470699,2018
174,175,300,210614939,2007
175,176,Back to the Future,210609762,1985
176,177,Fast Five,209837675,2011
177,178,Coco,209726015,2017
178,179,Mission: Impossible - Ghost Protocol,209397903,2011
179,180,Wedding Crashers,209255921,2005
180,181,Sherlock Holmes,209028679,2009
181,182,Dawn of the Planet of the Apes,208545589,2014
182,183,Batman Begins,206852432,2005
183,184,Charlie and the Chocolate Factory,206459076,2005
184,185,Ratatouille,206445654,2007
185,186,Thor: The Dark World,206362140,2013
186,187,Austin Powers: The Spy Who Shagged Me,206040086,1999
187,188,Terminator 2: Judgment Day,205881154,1991
188,189,The Amazing Spider-Man 2,202853933,2014
189,190,World War Z,202359711,2013
190,191,The Mummy Returns,202019785,2001
191,192,Armageddon,201578182,1998
192,193,Cinderella (2015),201151353,2015
193,194,Tangled,200821936,2010
194,195,Godzilla (2014),200676069,2014
195,196,Superman Returns,200081192,2006
196,197,Spectre,200074609,2015
197,198,Gone with the Wind,198676459,1939
198,199,Pearl Harbor,198542554,2001
199,200,Monsters Vs. Aliens,198351526,2009
200,201,Happy Feet,198000317,2006
201,202,Indiana Jones and the Last Crusade,197171806,1989
202,203,Ice Age: Dawn of the Dinosaurs,196573705,2009
203,204,Ice Age: The Meltdown,195330621,2006
204,205,Mission: Impossible - Rogue Nation,195042377,2015
205,206,Mission: Impossible - Fallout,193900660,2018
206,207,Madagascar,193595521,2005
207,208,Twilight,192769854,2008
208,209,Toy Story,191796233,1995
209,210,22 Jump Street,191719337,2014
210,211,Cars 2,191452396,2011
211,212,Teenage Mutant Ninja Turtles (2014),191204754,2014
212,213,Men in Black II,190418803,2002
213,214,Dunkirk,190068280,2017
214,215,Wreck-It Ralph,189422889,2012
215,216,Grease,188755690,1978
216,217,A Quiet Place,188024361,2018
217,218,Interstellar,188020017,2014
218,219,Gladiator,187705427,2000
219,220,The Croods,187168425,2013
220,221,Sherlock Holmes: A Game of Shadows,186848418,2011
221,222,The Day After Tomorrow,186740799,2004
222,223,The Polar Express,186493472,2004
223,224,Mr. & Mrs. Smith,186336279,2005
224,225,Snow White and the Seven Dwarfs,184925486,1937
225,226,Pitch Perfect 2,184296230,2015
226,227,Dances with Wolves,184208848,1990
227,228,Batman Forever,184031112,1995
228,229,The Fugitive,183875760,1993
229,230,The Revenant,183637894,2015
230,231,Ocean's Eleven,183417150,2001
231,232,The Simpsons Movie,183135014,2007
232,233,What Women Want,182811707,2000
233,234,The Perfect Storm,182618434,2000
234,235,Lincoln,182207973,2012
235,236,Liar Liar,181410615,1997
236,237,Jurassic Park III,181171875,2001
237,238,Thor,181030624,2011
238,239,Mission: Impossible,180981856,1996
239,240,Ant-Man,180202163,2015
240,241,Planet of the Apes (2001),180011740,2001
241,242,Madagascar: Escape 2 Africa,180010950,2008
242,243,X-Men Origins: Wolverine,179883157,2009
243,244,Indiana Jones and the Temple of Doom,179870271,1984
244,245,Top Gun,179800601,1986
245,246,Hitch,179495555,2005
246,247,MIB 3,179020854,2012
247,248,Pretty Woman,178406268,1990
248,249,Home (2015),177397510,2015
249,250,Night at the Museum: Battle of the Smithsonian,177243721,2009
250,251,Tootsie,177200000,1982
251,252,How to Train Your Dragon 2,177002924,2014
252,253,Rise of the Planet of the Apes,176760185,2011
253,254,Captain America: The First Avenger,176654505,2011
254,255,The Karate Kid,176591618,2010
255,256,There's Something About Mary,176484651,1998
256,257,Ice Age,176387405,2002
257,258,The Bourne Supremacy,176241941,2004
258,259,Get Out,176040665,2017
259,260,The LEGO Batman Movie,175750384,2017
260,261,The Boss Baby,175003033,2017
261,262,Crocodile Dundee,174803506,1986
262,263,The Greatest Showman,174340174,2017
263,264,Apollo 13,173837933,1995
264,265,Home Alone 2: Lost in New York,173585516,1992
265,266,Elf,173398518,2003
266,267,National Treasure,173008894,2004
267,268,Air Force One,172956409,1997
268,269,Rain Man,172825435,1988
269,270,Pirates of the Caribbean: Dead Men Tell No Tales,172558876,2017
270,271,Tron Legacy,172062763,2010
271,272,The Matrix,171479930,1999
272,273,True Grit,171243005,2010
273,274,Tarzan,171091819,1999
274,275,A Beautiful Mind,170742341,2001
275,276,Chicago,170687518,2002
276,277,The Help,169708112,2011
277,278,Hotel Transylvania 2,169700110,2015
278,279,Hidden Figures,169607287,2016
279,280,Bridesmaids,169106725,2011
280,281,Quantum of Solace,168368427,2008
281,282,Wild Hogs,168273550,2007
282,283,Kong: Skull Island,168052812,2017
283,284,Three Men and a Baby,167780960,1987
284,285,Gone Girl,167767189,2014
285,286,Casino Royale,167445960,2006
286,287,Meet the Parents,166244045,2000
287,288,Fifty Shades of Grey,166167230,2015
